8.704705734778905,0,-3.7320508075688772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7320508075688772,0
0,8.704705734778905,0,-3.7320508075688772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7320508075688772
-3.7320508075688772,0,8.6027918608056346,0,-3.7320508075688772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-3.7320508075688772,0,8.6027918608056346,0,-3.7320508075688772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-3.7320508075688772,0,8.4841919810962203,0,-3.7320508075688772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-3.7320508075688772,0,8.4841919810962203,0,-3.7320508075688772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-3.7320508075688772,0,8.4841919810962203,0,-3.7320508075688772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-3.7320508075688772,0,8.4841919810962203,0,-3.7320508075688772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-3.7320508075688772,0,8.6027918608056346,0,-3.7320508075688772,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-3.7320508075688772,0,8.6027918608056346,0,-3.7320508075688772,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-3.7320508075688772,0,8.704705734778905,0,-3.7320508075688772,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-3.7320508075688772,0,8.704705734778905,0,-3.7320508075688772,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-3.7320508075688772,0,8.704705734778905,0,-3.7320508075688772,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-3.7320508075688772,0,8.704705734778905,0,-3.7320508075688772,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-3.7320508075688772,0,8.6027918608056346,0,-3.7320508075688772,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7320508075688772,0,8.6027918608056346,0,-3.7320508075688772,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7320508075688772,0,8.4841919810962203,0,-3.7320508075688772,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7320508075688772,0,8.4841919810962203,0,-3.7320508075688772,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7320508075688772,0,8.4841919810962203,0,-3.7320508075688772,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7320508075688772,0,8.4841919810962203,0,-3.7320508075688772,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7320508075688772,0,8.6027918608056346,0,-3.7320508075688772,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7320508075688772,0,8.6027918608056346,0,-3.7320508075688772
-3.7320508075688772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7320508075688772,0,8.704705734778905,0
0,-3.7320508075688772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7320508075688772,0,8.704705734778905
