lambda,mode_index,k,k_over_pi,nu_physical,nu_pt,logarithmic_negativity,symplectic_transform_error
0.4,1,0.5235987755982988,0.16666666666666666,1.5700448636747681,0.2537366774277551,0.9785960200318714,4.440892098500626e-16
0.4,2,1.0471975511965976,0.3333333333333333,1.1776979602924014,0.26270020682121437,0.9285107585961645,3.5760213113510304e-16
0.4,3,1.5707963267948966,0.5,0.9417476765547169,0.2736623100570423,0.8695313406302722,3.572918131907428e-16
0.4,4,2.0943951023931953,0.6666666666666666,0.8632628324715399,0.27554476678129747,0.8596413675005212,6.815832433733607e-16
0.4,5,2.6179938779914944,0.8333333333333334,0.845185462070299,0.2784925260593053,0.8442894845998367,5.412337245047637e-16
