state,lambda,minimum_mode_index,minimum_k_over_pi,minimum_nu_pt,kstar_nu_pt,kstar_logarithmic_negativity
differential,-0.2,8,0.16666666666666666,0.25165261479329076,0.25165261479329076,0.9904945066702101
scalar,-0.2,1,0.020833333333333332,0.2600249179872864,0.29028655068573295,0.7844503631173357
