L,mode_index,k,k_over_pi,nu_physical,nu_pt,logarithmic_negativity,symplectic_transform_error,spectral_abscissa,relative_lyapunov_residual,min_full_symplectic_eigenvalue,cp_margin
12,1,0.5235987755982988,0.16666666666666666,1.5700448636747681,0.2537366774277551,0.9785960200318714,4.440892098500626e-16,-8.507196979031861e-06,7.357789166042026e-11,0.8230990729151275,-8.544980777703129e-15
12,2,1.0471975511965976,0.3333333333333333,1.1776979602924014,0.26270020682121437,0.9285107585961645,3.5760213113510304e-16,-8.507196979031861e-06,7.357789166042026e-11,0.8230990729151275,-8.544980777703129e-15
12,3,1.5707963267948966,0.5,0.9417476765547169,0.2736623100570423,0.8695313406302722,3.572918131907428e-16,-8.507196979031861e-06,7.357789166042026e-11,0.8230990729151275,-8.544980777703129e-15
12,4,2.0943951023931953,0.6666666666666666,0.8632628324715399,0.27554476678129747,0.8596413675005212,6.815832433733607e-16,-8.507196979031861e-06,7.357789166042026e-11,0.8230990729151275,-8.544980777703129e-15
12,5,2.6179938779914944,0.8333333333333334,0.845185462070299,0.2784925260593053,0.8442894845998367,5.412337245047637e-16,-8.507196979031861e-06,7.357789166042026e-11,0.8230990729151275,-8.544980777703129e-15
48,1,0.1308996938995747,0.041666666666666664,1.694544607065537,0.2595161097865912,0.9461039964281481,2.220446049250313e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,2,0.2617993877991494,0.08333333333333333,2.157099865153003,0.2576226848233636,0.9566684601256848,2.220446049250313e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,3,0.39269908169872414,0.125,3.7246723172440968,0.2561877327741424,0.9647266991829138,1.942890293094024e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,4,0.5235987755982988,0.16666666666666666,1.5700448635835698,0.2537366774042764,0.9785960201653663,4.718447854656915e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,5,0.6544984694978736,0.20833333333333334,3.1213266546591516,0.25655407253733736,0.9626651678464881,2.220446049250313e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,6,0.7853981633974483,0.25,1.7896830137778688,0.25786463470121085,0.955314169141889,4.440892098500626e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,7,0.916297857297023,0.29166666666666663,1.4031165544584867,0.260131085897469,0.9426892819564889,3.8827379789215597e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,8,1.0471975511965976,0.3333333333333333,1.1776979602916753,0.2627002068212309,0.9285107585960737,6.042911691218662e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,9,1.1780972450961724,0.375,1.108128380978449,0.26524082046840347,0.914625272093685,3.191891195797325e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,10,1.3089969389957472,0.4166666666666667,1.0414715010369633,0.26756300343797224,0.9020494499338612,1.9197989802158518e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,11,1.4398966328953218,0.4583333333333333,1.017131077911667,0.2697988815546407,0.890043727249506,1.5147828726040407e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,12,1.5707963267948966,0.5,0.9417476765589462,0.2736623100575444,0.8695313406276253,3.0884200158435134e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,13,1.7016960206944713,0.5416666666666667,0.9287092912661017,0.27265037353376054,0.8748759629220713,6.566388964287515e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,14,1.832595714594046,0.5833333333333333,0.8949702622277986,0.27371864972549836,0.869234359308137,1.249000902703301e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,15,1.9634954084936205,0.6249999999999999,0.8771173901019865,0.2747083975731116,0.864027081991221,2.0816681711721685e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,16,2.0943951023931953,0.6666666666666666,0.8632628324704856,0.2755447667813283,0.8596413675003599,1.1967076365675574e-15,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,17,2.2252947962927703,0.7083333333333334,0.8542334830261638,0.2762397611613284,0.8560071029462836,3.8434112475749296e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,18,2.356194490192345,0.75,0.8465407972147743,0.276809863316901,0.8530327447419925,4.440892098500626e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,19,2.4870941840919194,0.7916666666666666,0.8406374914837996,0.27727005048169934,0.8506363038075463,8.121578634997543e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,20,2.6179938779914944,0.8333333333333334,0.8451854620678706,0.27849252605944347,0.8442894845991209,7.771561172376096e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,21,2.748893571891069,0.875,0.8326647903888537,0.27790218960942453,0.8473508932160574,1.6653345369377348e-16,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,22,2.8797932657906435,0.9166666666666666,0.8303329105099903,0.2780913321040043,0.8463693172126642,1.124100812432971e-15,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
48,23,3.010692959690218,0.9583333333333333,0.8289842534476718,0.2782030963402174,0.8457896180344653,4.093947403305265e-15,-8.507196972724257e-06,7.773804855089354e-11,0.8230990729153383,-1.867468706479997e-14
96,1,0.06544984694978735,0.020833333333333332,1.6045109136534208,0.26015550458221604,0.9425538615322073,1.3877787807814457e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,2,0.1308996938995747,0.041666666666666664,1.6945446070578136,0.2595161097841883,0.946103996441506,2.220446049250313e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
