case,L,T,dominant_mode_x,dominant_mode_y,k_dom,survey_dt_cov,baseline_dt_pde,refined_dt_pde,shell_nu_pt_min,shell_nu_pt_max,shell_logarithmic_negativity_min,shell_logarithmic_negativity_max,shell_logarithmic_negativity_error_aware_lower,low_k_control_logarithmic_negativity,high_k_control_logarithmic_negativity,low_k_control_error_aware_upper,high_k_control_error_aware_upper,error_aware_shell_above_controls,selected_finest_nu_pt,selected_finest_logarithmic_negativity,selected_richardson_nu_pt,selected_observed_refinement_ratio,maximum_selection_symplectic_error,maximum_pde_step_logarithmic_negativity_change,minimum_pde_shell_control_gap,pde_step_ordering_preserved,pde_step_sampled_mode_count
spot,128,50.0,12,0,0.5890486225480862,0.0125,0.05,0.025,0.25379088955323253,0.2548703523754852,0.9721645323099286,0.9782878138575937,0.9711571443513262,0.8715817211536792,0.961958396248599,0.8719394630132948,0.965161776337689,True,0.25423769310385214,0.9757501557220708,0.25404296474319177,3.9907053811443,8.881784197001252e-16,0.0002442002024016787,0.010206136061329585,True,7
labyrinth,128,80.0,13,0,0.6381360077604268,0.0125,0.05,0.025,0.25760686265647037,0.25877984354632044,0.950202845208591,0.9567570674729606,0.9489332755574953,0.7703082449397499,0.9446188992243535,0.7706457878978726,0.9478112925820562,True,0.25877984354632044,0.950202845208591,0.2585518167776072,3.9891713795826367,1.3322676295501878e-15,0.001244580921270444,0.005434067447984137,True,7
