state,lambda,L,mode_index,k,k_over_pi,ell,kappa_k,g_k,R_k,eta_k,nu_physical,nu_pt,logarithmic_negativity
homogeneous_differential,-0.2,96,1,0.06544984694978735,0.020833333333333332,0.004282153522793042,2.0319624290257474,2.0116990609900807,4.334198631064713,0.9282911247175115,1.3446128202490895,0.25929694618765015,0.9473228796173909
homogeneous_differential,-0.2,96,2,0.1308996938995747,0.041666666666666664,0.017110277252379236,2.1277128480749385,2.04674614678509,4.37990507025143,0.9346075378147845,1.4057552741677433,0.25845035244966,0.9520409251936721
homogeneous_differential,-0.2,96,3,0.19634954084936207,0.0625,0.03842943919353914,2.2868412391533335,2.1049911803831276,4.459377682327813,0.9440739629321165,1.5163749078384414,0.2571918607694758,0.9590831077942684
homogeneous_differential,-0.2,96,4,0.2617993877991494,0.08333333333333333,0.06814834742186338,2.508666190060499,2.186184747608386,4.577096515664016,0.9552714215777153,1.6907287211263233,0.2557189730705256,0.9673688895706609
homogeneous_differential,-0.2,96,5,0.3272492347489368,0.10416666666666667,0.10613974100978862,2.792237812301466,2.2899791651409442,4.738459502939441,0.9665500628296542,1.949484774781289,0.2542523627802049,0.9756669137035237
homogeneous_differential,-0.2,96,6,0.39269908169872414,0.125,0.15224093497742652,3.136341808655091,2.415929969350119,4.949044998913316,0.9763216822156984,2.3113502661945535,0.2529952509752556,0.9828177908324087
homogeneous_differential,-0.2,96,7,0.4581489286485115,0.14583333333333331,0.20625451693462327,3.5395046729811788,2.563497819555966,5.213875697655883,0.9833367606782395,2.7503759240521606,0.2521004046882162,0.9879296607797077
homogeneous_differential,-0.2,96,8,0.5235987755982988,0.16666666666666666,0.2679491924311226,3.999999999999999,2.7320508075688767,5.53682277669703,0.9868659040586706,3.0951780270159173,0.25165261479329076,0.9904945066702101
homogeneous_differential,-0.2,96,9,0.5890486225480862,0.1875,0.33706077539490953,4.515855878024729,2.9208671636174546,5.920250059891179,0.9867377675162401,3.0802886252974915,0.25166884536809553,0.9904014616814977
homogeneous_differential,-0.2,96,10,0.6544984694978736,0.20833333333333334,0.41329331941752967,5.084863332990027,3.129138347077484,6.364922747036092,0.9832447215591446,2.742875063090874,0.25211210425253056,0.9878627092339979
homogeneous_differential,-0.2,96,11,0.7199483164476609,0.22916666666666666,0.49632038504204523,5.704585787618122,3.3559725087670156,6.870131401133873,0.9769747659304253,2.343513255851702,0.2529116752609053,0.9832944566516567
homogeneous_differential,-0.2,96,12,0.7853981633974483,0.25,0.5857864376269049,6.3723694952167715,3.600398309981481,7.433942389077297,0.968637668021628,2.0122546293423387,0.2539827455920176,0.9771976045606408
homogeneous_differential,-0.2,96,13,0.8508480103472357,0.27083333333333337,0.6813083697998623,7.085354903430023,3.861369081915149,8.053487478608934,0.9589309208393075,1.7627996716865115,0.25524126179282225,0.9700665237312106
homogeneous_differential,-0.2,96,14,0.916297857297023,0.29166666666666663,0.7824771419825587,7.84048889928039,4.1377673076576365,8.725231953380383,0.9484601279979856,1.577802264212666,0.25661289795739506,0.9623344094499166
homogeneous_differential,-0.2,96,15,0.9817477042468102,0.31249999999999994,0.8888595339607952,8.634537883067363,4.428409407572886,9.44519194694721,0.9377065987534953,1.43914639165597,0.25803700122693723,0.9543501390872596
homogeneous_differential,-0.2,96,16,1.0471975511965976,0.3333333333333333,0.9999999999999998,9.464101615137753,4.732050807568877,10.209095250912494,0.9270264781094923,1.333347987754904,0.25946711458294264,0.9463763949729256
homogeneous_differential,-0.2,96,17,1.1126473981463851,0.3541666666666667,1.1154226195619974,10.32562777623389,5.047391268554947,11.012492698471307,0.9166664454189555,1.2510848957542404,0.2608695953305048,0.9385992888003816
