case,filename,sha256,size_bytes,n_frames,fps,width,height,physical_final_time,field_vmin,field_vmax,pattern_grid_L,layout,font_family,axis_label_font_size,axis_label_scale_reference
spot,display_spot_pattern.mp4,ac56cb764783c575cd11dc8b0b8389f90318bd6527e3d51bd0ff37eac722cd71,2482648,61,8.0,1024,1024,50.0,-0.24,0.24,128,single_pattern_panel,Times,24,x/L
labyrinth,display_labyrinth_pattern.mp4,4638646ecd6b349ca46a9c71d34ced45d35f376ff6131f8713758ef99e1a0149,3424552,61,8.0,1024,1024,80.0,-0.24,0.24,128,single_pattern_panel,Times,24,x/L
stripe,display_stripe_pattern.mp4,d5ec0c5aef89c21913d3648fede6addd6d123f31f988128b7b3abf6697631020,1060427,61,8.0,1024,1024,160.0,-0.24,0.24,192,single_pattern_panel,Times,24,x/L
